"","dml_ate","dml_se","ivforest_ate","ivforest_se","tsls_ate","tsls_se","true_ate"
"40",27932.3216569598,2020.95194002324,32142.3174734414,2078.30869609823,25834.6758361335,6169.26491511923,36206.3852748408
"41",26316.1283324098,2036.58655790302,32417.9134916711,2175.2200867395,22960.8336204818,6563.50643806391,36318.2254812466
"42",23526.0697116464,2073.32763703499,24768.6551806295,2135.07999784024,16038.5951355606,6573.54562031118,36406.9057066346
"43",28405.266932969,1929.59707380255,36884.8925104395,2030.58821633333,26771.9392197599,5885.49128594676,36320.2496544398
"44",31052.3969011929,2019.98620480111,36985.8159390559,1956.64831859991,30360.9897761913,5929.25749145189,36320.0544336239
"45",30091.2839229306,1986.68796873736,38808.7734292985,2046.35741714409,27751.7933494616,5889.5018925224,36316.8222588702
"46",26235.6859707212,2035.60309917027,27881.6455894289,2111.50950498886,21519.3557111963,5936.96034505911,36267.0523507455
"47",23733.3495263755,2002.43929839951,29684.8095433235,1919.77726280097,18872.398245539,6020.08037660641,36217.4932285229
"48",27513.2282232384,1931.03464125556,30205.7424178778,1894.67856354268,20704.8810471197,5772.78804022704,36324.9427276382
"49",24611.133413318,1980.64732859701,34774.8414717133,2135.08058531218,29341.8360825377,5972.3349823725,36383.2597160777
"50",22019.4762723974,1992.80432231499,23351.6081434914,2017.50457978151,13465.7697210835,5925.7817953466,36329.1680914892
